"ELEMNTIN","ELEMENTOUT","CONVRULE","DOMAINID","STARTDATE","ENDDATE","SIGN"
"52790","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52790_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52800","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52800_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52810","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52810_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52250","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52250_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52240","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52240_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52260","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52260_1","F512","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52670","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52670_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52680","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52680_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
" 52690","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52690_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52700","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52700_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52710","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52710_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52720","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52720_1","F5","RTYP17","TYPINS","1900-01-01","9999-12-31","1"
"52670","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52670_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52680","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52680_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
" 52690","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52690_1","F5A","RTYP18","TYPINS","1900-01-01","9999-12-31","1"
"52760","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52760_1","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
"52770","F511","INSTRASSET1","TYPINS","1900-01-01","9999-12-31","1"
