"INPUTCUBEID","FILTER","ACCOUNTING_ENTRY","ADJUSTMENT","COMP_METHOD","COUNTERPART_AREA","COUNTERPART_SECTOR","CURRENCY_DENOM","ENTITYID","FLOW_STOCK_ENTRY","FREQ","FUNCTIONAL_CAT","INSTR_ASSET","INT_ACC_ITEM","MATURITY","OBS_DATE","OBS_STATUS","REF_AREA","REF_SECTOR","RESIDENCY","UNIT_MEASURE","VALUATION","CBMNACE","FURTHER_CLASSIFICATION","NAME","OBS_VALUE","STARTDATE","ENDDATE"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.127%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND RECLASS_FLOW <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'_T'","'S127'","'KA'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S127'","'1'","'EUR'","'M'","'64.2'","'CBMNBR'","'S127'","HOLD(RECLASS_FLOW)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.127%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND MARKET_PRICE_FLOW <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'_T'","'S127'","'K7B'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S127'","'1'","'EUR'","'M'","'64.2'","'CBMNBR'","'S127'","HOLD(MARKET_PRICE_FLOW)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.127%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND EXCHANGE_RATE_FLOW<> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'_T'","'S127'","'K7A'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S127'","'1'","'EUR'","'M'","'64.2'","'CBMNBR'","'S127'","HOLD(EXCHANGE_RATE_FLOW)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.127%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND NET_TRANS <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'_T'","'S127'","'T'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S127'","'1'","'EUR'","'M'","'64.2'","'CBMNBR'","'S127'","HOLD(NET_TRANS)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.11%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND COUNTERPART_AREA IN (SELECT ELEMNTIN FROM T5040.CONVRULECOMP WHERE CONVRULE='BOP_CURRENCY1' AND OBS_DATE BETWEEN STARTDATE AND ENDDATE) AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","CONV('BOP_CURRENCY1',COUNTERPART_AREA)","'S11'","'LE'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S11'","'1'","'EUR'","'M'","'70.10'","'CBMNBR'","'S11'","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.11%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND COUNTERPART_AREA NOT IN (SELECT ELEMNTIN FROM T5040.CONVRULECOMP WHERE CONVRULE='BOP_CURRENCY1' AND OBS_DATE BETWEEN STARTDATE AND ENDDATE) AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'X5'","'S11'","'LE'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S11'","'1'","'EUR'","'M'","'70.10'","'CBMNBR'","'S11'","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.127%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND COUNTERPART_AREA IN (SELECT ELEMNTIN FROM T5040.CONVRULECOMP WHERE CONVRULE='BOP_CURRENCY1' AND OBS_DATE BETWEEN STARTDATE AND ENDDATE)AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","CONV('BOP_CURRENCY1',COUNTERPART_AREA)","'S127'","'LE'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S127'","'1'","'EUR'","'M'","'64.2'","'CBMNBR'","'S127'","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.127%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND COUNTERPART_AREA NOT IN (SELECT ELEMNTIN FROM T5040.CONVRULECOMP WHERE CONVRULE='BOP_CURRENCY1' AND OBS_DATE BETWEEN STARTDATE AND ENDDATE) AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'X5'","'S127'","'LE'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S127'","'1'","'EUR'","'M'","'64.2'","'CBMNBR'","'S127'","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.11%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND CLOSING_POSITION <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'_T'","'S11'","'LE'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S11'","'1'","'EUR'","'M'","'70.10'","'CBMNBR'","'S11'","HOLD(CLOSING_POSITION)","1900-01-01","9999-12-31"
"SMSEO_BOP_CSDB","SECISS LIKE 'S.11%' AND INSTR_ASSET LIKE 'F5%' AND FUNCTIONAL_CAT IN ('D','P') AND MARKET_PRICE_FLOW <> 0","'L'","'N'","'N'","HOLD(COUNTERPART_AREA)","'S1'","'_T'","'S11'","'K7B'","'M'","HOLD(FUNCTIONAL_CAT)","'F511'","'FA'","'_Z'","HOLD(OBS_DATE)","'A'","'MT'","'S11'","'1'","'EUR'","'M'","'70.10'","'CBMNBR'","'S11'","HOLD(MARKET_PRICE_FLOW)","1900-01-01","9999-12-31"
