"ELEMNTIN","ELEMENTOUT","CONVRULE","DOMAINID","STARTDATE","ENDDATE","SIGN"
"52670","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52670_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52680","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52680_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
" 52690","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52690_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52700","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52700_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52710","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52710_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52720","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52720_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52760","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52760_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52770","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52770_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52670","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52670_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52680","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52680_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
" 52690","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52690_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52700","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52700_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52710","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52710_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52730","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52730_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52740","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52740_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52720","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52720_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52750","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52750_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52780","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52780_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52700","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52700_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52710","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52710_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52720","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52720_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52730","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52730_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52740","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52740_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52750","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52750_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52730","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52730_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52740","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52740_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52750","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52750_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52780","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52780_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52760","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52760_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52770","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52770_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52740_1 ","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52690","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52230","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52230_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52210","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52210_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52220","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52220_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52340","P","RTYP33","TYPINS","1900-01-01","9999-12-31","1"
"52340_1","P","RTYP33","TYPINS","1900-01-01","9999-12-31","1"
"52120","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52120_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52130","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52130_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52140","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52140_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52150","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52150_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52160","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52160_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52170","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52170_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52700","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52700_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52710","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52710_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52720","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
